nrInst,nrAgencia,cdClient,nmClient,nrCpfCnpj,nrContrato,dtContrato,qtPrestacoes,vlTotal,cdProduto,dsProduto,cdCarteira,dsCarteira,nrProposta,nrPresta,tpPresta,nrSeqPre,dtVctPre,vlPresta,vlMora,vlMulta,vlOutAcr,vlIof,vlDescon,vlAtual,idSituac,idSitVen,vlMov,vlPag
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,2,Original,0,20220406,17524.03,29196.96,536.4,0,0,0,47257.39,Aberta,Vencida,$156.30,$661.98
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,3,Original,0,20241113,98750.27,43130.98,77238.37,0,0,0,219119.62,Aberta,Vencida,$625.81,$836.47
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,4,Original,0,20221004,55430.51,21312.43,76817.09,0,0,0,153560.03,Aberta,Vencida,$783.23,$426.91
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,5,Original,0,20230925,88297.91,48666.68,87550.74,0,0,0,224515.33,Aberta,Vencida,$918.11,$630.22
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,83720.19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,6,Original,0,20231023,43609.6,15383.17,39056.15,0,0,0,98048.92,Aberta,Vencida,$279.10,$698.05
1150,25,81045,CLIENTE 2,9.53051E+11,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,2,Original,0,20230502,54815.71,69011.51,87297.2,0,0,0,211124.42,Aberta,Vencida,$742.14,$530.27
1150,25,81045,CLIENTE 2,9.53051E+11,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,3,Original,0,20240624,11927.09,8993.54,55743.14,0,0,0,76663.77,Aberta,Vencida,$697.60,$27.59
1150,25,81045,CLIENTE 2,9.53051E+11,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,4,Original,0,20220706,27447.07,85413.37,19757.46,0,0,0,132617.9,Aberta,Vencida,$784.39,$382.50
1150,25,81045,CLIENTE 2,9.53051E+11,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,5,Original,0,20230917,68868.05,34423.42,16702.74,0,0,0,119994.21,Aberta,Vencida,$361.06,$931.54
1150,25,81045,CLIENTE 2,9.53051E+11,273134,20240804,5,49396.22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,6,Original,0,20240714,93463.14,70230.19,77932.46,0,0,0,241625.79,Aberta,Vencida,$465.29,$735.21
1536,19,22984,CLIENTE 3,4.48751E+11,636046,20231013,3,45521.15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,2,Original,0,20221113,56846.65,55541.9,38328.24,0,0,0,150716.79,Aberta,Vencida,$338.19,$821.77
1536,19,22984,CLIENTE 3,4.48751E+11,636046,20231013,3,45521.15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,3,Original,0,20240314,83115.55,32144,63088.13,0,0,0,178347.68,Aberta,Vencida,$88.33,$690.89
1536,19,22984,CLIENTE 3,4.48751E+11,636046,20231013,3,45521.15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,4,Original,0,20230217,81565.13,68893.21,85232.52,0,0,0,235690.86,Aberta,Vencida,$183.52,$389.93
458,44,91342,CLIENTE 4,3.52869E+11,702186,20230509,3,87737.91,826,CDC PESSOA JURIDICA,7,CRÉDITO DIRETO AO CONSUMIDOR,726379,2,Original,0,20240917,87390.74,74254.13,29020.67,0,0,0,190665.54,Aberta,Vencida,$567.57,$480.20
458,44,91342,CLIENTE 4,3.52869E+11,702186,20230509,3,87737.91,826,CDC PESSOA JURIDICA,7,CRÉDITO DIRETO AO CONSUMIDOR,726379,3,Original,0,20241114,93005.63,8499.78,38610.6,0,0,0,140116.01,Aberta,Vencida,$770.88,$616.71
